genesymbol	lfc_rna	ncbi_id	UniprotKB_rna	UniprotKB_prot	lfc_prot
Hk1	-0.50758183	15275	G3UVV4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	G3UVV4	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	P17710	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	G3UVV4	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	P17710	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	B4YB29	0.2947735617866299
