genesymbol	lfc_rna	ncbi_id	UniprotKB_rna	UniprotKB_prot	lfc_prot
Acox3	-2.3270364	80911	Q3TAW3	Q3TAW3	0.5767173410773405
Pgm2	3.8894544	66681	Q7TSV4	Q7TSV4	0.5124365467935527
Atp5k	-0.27615774	11958	Q06185		
Dgkq	-0.915692	110524	Q6P5E8		
Acads	0.40071398	11409	Q07417	Q07417	0.5060492054789232
Cox6a1	-0.2505076	12861	P43024	P43024	0.45407792619623516
Cox6a1	-0.2505076	12861	P43024	Q9DCW5	0.45407792619623516
Cox6a1	-0.2505076	12861	Q9DCW5	P43024	0.45407792619623516
Cox6a1	-0.2505076	12861	Q9DCW5	Q9DCW5	0.45407792619623516
Aldh2	2.8405285	11669	P47738	P47738	0.33606362224244546
Aldh2	2.8405285	11669	P47738	A0A0G2JEU1	0.33606362224244546
Aldh2	2.8405285	11669	A0A0G2JEU1	P47738	0.33606362224244546
Aldh2	2.8405285	11669	A0A0G2JEU1	A0A0G2JEU1	0.33606362224244546
Aldh2	2.8405285	11669	Q544B1	P47738	0.33606362224244546
Aldh2	2.8405285	11669	Q544B1	A0A0G2JEU1	0.33606362224244546
Atp6v0a2	0.565757	21871	P15920		
Aacs	0.34090886	78894	Q9D2R0	Q9D2R0	0.23751325836295054
Mdh2	-0.5166236	17448	P08249	P08249	0.24291096805073892
Ache	-0.79659617	11423	P21836	P21836	0.7777030830033147
Ache	-0.79659617	11423	Q543Z1	P21836	0.7777030830033147
Atp5j2	-0.46720383	57423	P56135		
Ndufa4	-0.58469445	17992	Q62425	Q62425	0.32739363933973353
Ndufa5	-0.60970706	68202	Q9CPP6	Q9CPP6	0.2558672242731767
Ndufa5	-0.60970706	68202	Q9CPP6	D3YTQ8	0.2558672242731767
Ndufa5	-0.60970706	68202	D3YTQ8	Q9CPP6	0.2558672242731767
Ndufa5	-0.60970706	68202	D3YTQ8	D3YTQ8	0.2558672242731767
Atp6v1f	-0.24607387	66144	Q9D1K2	Q9D1K2	0.17152171384257944
Akr1b3	0.059554555	11677	P45376		
Akr1b3	0.059554555	11677	Q3UDY1		
Akr1b10	1.0185875	67861	G5E895	G5E895	0.72564398605794
Akr1b10	1.0185875	67861	Q8BIV6	G5E895	0.72564398605794
Bpgm	-0.094636776	12183	P15327	P15327	0.2714552996286746
Dgki	-2.9889364	320127	D3YWQ0	D3YWQ0	-0.2611552514130448
Ndufb2	-0.46305186	68198	Q9CPU2		
Agk	-0.7423922	69923	Q9ESW4	Q9ESW4	0.5823017809557123
Atp6v0e2	0.32138494	76252	Q91XE7		
Atp6v0e2	0.32138494	76252	A0A0N4SVQ2		
Cycs	-0.16201288	13063	P62897	P62897	-0.24304773103081087
Cycs	-0.16201288	13063	Q56A15	P62897	-0.24304773103081087
Hibadh	0.5862683	58875	Q99L13	Q99L13	0.21636618574672814
Suclg1	-1.0521224	56451	Q9WUM5	Q9WUM5	0.12333282626395532
Hk2	1.2843119	15277	O08528		
Suclg2	-0.039822232	20917	Q9Z2I8	Q9Z2I8	0.2246461387626788
Atp6v1e1	-1.0909852	11973	P50518	P50518	-0.21413683288394084
Lpcat3	-1.061734	14792	Q91V01		
Eno2	-0.4862794	13807	P17183	P17183	-0.15468097383177543
Eno2	-0.4862794	13807	P17183	D3Z6E4	-0.15468097383177543
Eno2	-0.4862794	13807	D3Z6E4	P17183	-0.15468097383177543
Eno2	-0.4862794	13807	D3Z6E4	D3Z6E4	-0.15468097383177543
Eno2	-0.4862794	13807	Q545V3	P17183	-0.15468097383177543
Eno2	-0.4862794	13807	Q545V3	D3Z6E4	-0.15468097383177543
Tpi1	0.28505743	21991	P17751	P17751	-0.011533258800367737
Gapdh	0.08546338	14433	P16858	P16858	-0.172637241271358
Gapdh	0.08546338	14433	P16858	A0A0A0MQF6	-0.172637241271358
Gapdh	0.08546338	14433	A0A0A0MQF6	P16858	-0.172637241271358
Gapdh	0.08546338	14433	A0A0A0MQF6	A0A0A0MQF6	-0.172637241271358
Gapdh	0.08546338	14433	D2KHZ9	P16858	-0.172637241271358
Gapdh	0.08546338	14433	D2KHZ9	A0A0A0MQF6	-0.172637241271358
Ndufa9	-1.37625	66108	Q9DC69	Q9DC69	0.5294612749015173
Ldhb	0.0040194774	16832	P16125	P16125	0.06218945161021477
Ldhb	0.0040194774	16832	A0A6I8MX27	P16125	0.06218945161021477
Etnk1	0.7592909	75320	Q9D4V0	Q9D4V0	0.16352633764398042
Bcat1	0.97246635	12035	P24288	P24288	0.28658383578253077
Bcat1	0.97246635	12035	P24288	Q8CBC8	0.28658383578253077
Bcat1	0.97246635	12035	Q3TJN1	P24288	0.28658383578253077
Bcat1	0.97246635	12035	Q3TJN1	Q8CBC8	0.28658383578253077
Bcat1	0.97246635	12035	Q8CBC8	P24288	0.28658383578253077
Bcat1	0.97246635	12035	Q8CBC8	Q8CBC8	0.28658383578253077
Ndufa3	-0.91709036	66091	Q9CQ91	Q9CQ91	-1.0098816433243345
Mboat7	-0.05855275	77582	Q8CHK3	Q8CHK3	0.41843600050168755
Cox6b2	0.9820067	333182	Q80ZN9		
Cox6b2	0.9820067	333182	Q059Q8		
Cox6b2	0.9820067	333182	S4R2Q6		
Cox6b2	0.9820067	333182	V9GXN3		
Bckdha	-0.49523723	12039	Q3U3J1	Q3U3J1	0.3523044887832232
Pld3	-0.2869199	18807	O35405	O35405	0.653176587570381
